id,slug,name,category,description,lastVerified,address,phone,website,hours,languages,eligibility,tags
sa-food-bank-main,san-antonio-food-bank,San Antonio Food Bank,food,"Food pantry distribution, SNAP enrollment support, and community partner referrals.",2026-03-03,"5200 Historic Old Hwy 90, San Antonio, TX 78227",2104318326,https://safoodbank.org,"Mon-Fri 8:00 AM-5:00 PM",English; Spanish,"Open to Bexar County residents; program rules vary","groceries,pantry,snap"
meals-on-wheels-sa,meals-on-wheels-san-antonio,Meals on Wheels San Antonio,food,"Home-delivered meals and wellness checks for older adults.",2026-03-03,"2718 Danbury St, San Antonio, TX 78217",2107355115,https://www.mowsatx.org,"Mon-Fri 8:00 AM-5:00 PM",English; Spanish,"Older adults and eligible homebound residents","seniors,meals,home-delivery"
samm-rapid-rehousing,samm-rapid-rehousing,SAMMinistries,housing,"Emergency shelter diversion, rapid rehousing, and homelessness prevention services.",2026-03-03,"5922 Blanco Rd, San Antonio, TX 78216",2103400302,https://www.samm.org,"Mon-Fri 8:00 AM-5:00 PM",English; Spanish,"Families and individuals at risk of homelessness","housing,shelter,rapid-rehousing"
haven-for-hope-campus,haven-for-hope,Haven for Hope,housing,"Comprehensive homeless services campus with coordinated intake and case management.",2026-03-03,"1 Haven for Hope Way, San Antonio, TX 78207",2102202100,https://www.havenforhope.org,"Daily hours vary by service",English; Spanish,"Unhoused adults and families; intake required","shelter,case-management,homelessness"
centromed-primary,centromed-health-centers,CentroMed,healthcare,"Community health centers offering primary care, pediatrics, and preventive services.",2026-03-03,"3750 Commercial Ave, San Antonio, TX 78221",2109227000,https://centromedsa.com,"Clinic hours vary by location",English; Spanish,"Sliding fee scale available for eligible patients","primary-care,community-clinic,uninsured"
communicare-network,communicare-health-centers,CommuniCare Health Centers,healthcare,"Federally qualified health center network providing medical, dental, and behavioral health.",2026-03-03,"3066 East Commerce St, San Antonio, TX 78220",2102337000,https://communicaresa.org,"Mon-Fri 8:00 AM-5:00 PM",English; Spanish,"Open to all; sliding fee scale based on income","medical,dental,behavioral-health"
trla-san-antonio,texas-riogrande-legal-aid,Texas RioGrande Legal Aid,legal,"Civil legal services for qualifying low-income residents, including housing and family matters.",2026-03-03,"1111 N Main Ave, San Antonio, TX 78212",2102123700,https://www.trla.org,"Mon-Fri business hours",English; Spanish,"Income and case-type eligibility requirements apply","civil-legal,housing-rights,family-law"
raices-legal,raices,RAICES,legal,"Immigration legal services, legal orientation, and community legal support.",2026-03-03,"1305 N Flores St, San Antonio, TX 78212",2102220964,https://www.raicestexas.org,"Mon-Fri business hours",English; Spanish,"Immigration-related legal needs","immigration,asylum,legal-aid"
catholic-charities-assistance,catholic-charities-utility-assistance,Catholic Charities Archdiocese of San Antonio,financial,"Emergency assistance programs including utility support, rent support, and case management referrals.",2026-03-03,"202 W French Pl, San Antonio, TX 78212",2102221294,https://ccaosa.org,"Mon-Fri business hours",English; Spanish,"Varies by funding and household eligibility","utility-assistance,rent-assistance,financial-aid"
prosper-west-financial,prosper-west-financial-empowerment,Prosper West,financial,"Financial empowerment services including coaching, tax preparation support, and small business guidance.",2026-03-03,"1706 Guadalupe St, San Antonio, TX 78207",2109893505,https://prosperwestsa.org,"Mon-Fri business hours",English; Spanish,"Westside residents prioritized for some programs","financial-coaching,tax-help,small-business"
avance-sa-family,avance-san-antonio,AVANCE San Antonio,family,"Early childhood education, parent education, and family support services.",2026-03-03,"118 N Medina, San Antonio, TX 78207",2102704630,https://www.avancesa.org,"Mon-Fri business hours",English; Spanish,"Families with young children","early-childhood,parenting,family-support"
any-baby-can,any-baby-can-san-antonio,Any Baby Can San Antonio,family,"Services for families with children facing medical, developmental, or educational challenges.",2026-03-03,"217 Howard St, San Antonio, TX 78212",2102270170,https://www.anybabycansa.org,"Mon-Fri business hours",English; Spanish,"Families with children and youth","children,care-navigation,family-support"
goodwill-jobs,goodwill-san-antonio-workforce,Goodwill San Antonio,employment,"Workforce training, career coaching, and job placement support.",2026-03-03,"406 W Commerce St, San Antonio, TX 78207",2109248581,https://goodwillsa.org,"Mon-Fri business hours",English; Spanish,"Open enrollment; some programs have prerequisites","job-training,career-coaching,placement"
restore-education,restore-education,Restore Education,employment,"Adult education and workforce pathways including GED and career credential support.",2026-03-03,"2222 N Alamo St, San Antonio, TX 78215",2104326123,https://restoreeducation.org,"Mon-Thu class and advising hours vary",English; Spanish,"Adults seeking GED, ESL, or workforce pathways","ged,adult-education,esl"
fvps-mainline,family-violence-prevention-services,FVPS,crisis,"24/7 domestic violence hotline, shelter services, and legal advocacy.",2026-03-03,"7911 Broadway, San Antonio, TX 78209",2107338810,https://fvps.org,"24/7 hotline; office hours vary",English; Spanish,"Survivors of domestic violence","domestic-violence,hotline,shelter"
bcfs-crisis-care,bcfs-health-and-human-services,BCFS Health and Human Services,crisis,"Crisis and supportive services including family violence and emergency support programs.",2026-03-03,"1506 Bexar Crossing, San Antonio, TX 78232",2102835000,https://www.bcfs.net,"Program hours vary",English; Spanish,"Varies by program and referral","crisis-support,safety,case-management"
